,all_preds,all_labels,all_preds_raw
0,1.0,0,0.7554804
1,0.0,0,0.10717376
2,1.0,1,0.8423026
3,1.0,1,0.62757516
4,0.0,0,0.065675735
5,1.0,0,0.5862336
6,1.0,1,0.8222408
7,0.0,0,0.05650568
8,1.0,1,0.9468162
9,0.0,0,0.2627586
10,0.0,0,0.22288164
11,0.0,0,0.060644623
12,1.0,1,0.6213454
13,0.0,1,0.06729887
14,1.0,1,0.5551538
15,1.0,1,0.81027806
16,0.0,0,0.1438637
17,1.0,1,0.9506207
18,1.0,1,0.60244715
19,0.0,0,0.22910981
20,1.0,1,0.71525836
21,0.0,0,0.21513137
22,0.0,0,0.04918524
23,1.0,1,0.6734001
24,0.0,0,0.43296972
25,1.0,1,0.98716706
26,0.0,0,0.23866068
27,1.0,0,0.5919881
28,0.0,0,0.10885738
29,1.0,1,0.6474854
30,0.0,0,0.17166941
31,1.0,1,0.5477564
32,1.0,0,0.56276435
33,0.0,1,0.3537429
34,1.0,0,0.6927722
35,0.0,0,0.062633485
36,1.0,0,0.8060183
37,0.0,0,0.16262472
38,0.0,0,0.47210866
39,0.0,0,0.32019547
40,1.0,0,0.5568769
41,0.0,0,0.092658915
42,1.0,1,0.6408651
43,0.0,0,0.04240655
44,1.0,0,0.7160798
45,1.0,0,0.72770023
46,1.0,1,0.95323175
47,0.0,1,0.48616692
48,0.0,1,0.15227689
49,0.0,0,0.4857792
50,1.0,0,0.57856077
51,1.0,1,0.9859407
52,1.0,1,0.7915455
53,0.0,0,0.4582886
54,0.0,0,0.11480507
55,1.0,1,0.56606674
56,0.0,0,0.29814485
57,1.0,0,0.58794725
58,1.0,0,0.6503813
59,1.0,0,0.5422379
60,0.0,0,0.19803794
61,1.0,1,0.828757
62,0.0,0,0.057669662
63,1.0,1,0.6535691
64,1.0,1,0.92714167
65,0.0,1,0.20199217
66,1.0,0,0.65209585
67,0.0,1,0.14048481
68,1.0,1,0.768558
69,0.0,0,0.49145973
70,1.0,1,0.6266153
71,0.0,0,0.15105721
72,1.0,1,0.7887887
73,0.0,1,0.49845555
74,1.0,1,0.83888966
75,0.0,0,0.26279736
76,0.0,0,0.11920722
77,0.0,0,0.23237178
78,1.0,1,0.83855
79,0.0,0,0.20725775
80,0.0,0,0.3414722
81,0.0,0,0.17863798
82,1.0,1,0.83008885
83,1.0,0,0.82812303
84,0.0,1,0.3067303
85,0.0,1,0.21208778
86,1.0,0,0.70827997
87,0.0,0,0.018002143
88,0.0,1,0.24660215
89,1.0,1,0.547843
90,1.0,1,0.95067835
91,0.0,0,0.07826054
92,0.0,0,0.460683
93,1.0,1,0.803045
94,1.0,0,0.55170804
95,0.0,0,0.03842379
96,1.0,1,0.80766606
97,1.0,0,0.53552914
98,0.0,0,0.08182917
99,0.0,0,0.35954648
100,1.0,1,0.9156829
101,1.0,1,0.95039123
102,1.0,1,0.59639937
103,0.0,0,0.17067419
104,1.0,1,0.9847044
105,1.0,0,0.5869112
106,0.0,0,0.14611399
107,1.0,0,0.5167996
108,0.0,0,0.027832415
109,0.0,0,0.45238742
110,0.0,0,0.27835706
111,1.0,1,0.94098556
112,1.0,1,0.6793445
113,0.0,0,0.44250378
114,0.0,0,0.22796468
115,0.0,0,0.16805796
116,0.0,0,0.15480687
117,0.0,0,0.06647804
118,1.0,1,0.8428994
119,1.0,1,0.6540465
120,1.0,1,0.57250077
121,1.0,1,0.6609043
122,1.0,1,0.60473764
123,0.0,1,0.15561236
124,1.0,1,0.81424457
125,0.0,1,0.39554626
126,0.0,0,0.018400632
127,1.0,0,0.55298984
128,1.0,1,0.70796955
129,0.0,0,0.26109928
130,0.0,0,0.27176842
131,1.0,0,0.58803886
132,0.0,0,0.09000622
133,0.0,0,0.49952134
134,1.0,1,0.8608055
135,0.0,0,0.07606363
136,0.0,1,0.38969073
137,1.0,1,0.7210516
138,0.0,0,0.24735501
139,1.0,1,0.9322396
140,0.0,0,0.22333106
141,1.0,0,0.5347276
142,0.0,1,0.49480948
143,1.0,0,0.6793988
144,0.0,0,0.04377637
145,1.0,1,0.97171694
146,1.0,0,0.5380431
147,1.0,0,0.6156994
148,1.0,1,0.6697551
149,0.0,0,0.22746995
150,0.0,0,0.4487843
151,0.0,0,0.097534396
152,0.0,0,0.047909502
153,1.0,0,0.7121422
154,0.0,0,0.06898929
155,0.0,0,0.38685074
156,0.0,0,0.2801457
157,0.0,0,0.32216814
158,1.0,0,0.82591355
159,1.0,1,0.5223004
160,1.0,1,0.8392609
161,1.0,0,0.56263775
162,1.0,1,0.9947925
163,0.0,0,0.18233587
164,0.0,0,0.19601564
165,1.0,1,0.8253511
166,0.0,0,0.097735435
167,1.0,1,0.5676479
168,0.0,0,0.14706217
169,0.0,0,0.09199804
170,0.0,0,0.091717236
171,0.0,0,0.13339724
172,1.0,0,0.62236345
173,1.0,0,0.74615335
174,1.0,0,0.5517175
175,1.0,1,0.8171892
176,0.0,0,0.35127413
177,0.0,0,0.13045664
178,0.0,0,0.14120752
179,0.0,0,0.06904495
180,0.0,0,0.32622457
181,1.0,1,0.86384636
182,0.0,0,0.45361742
